ICAO    STATION NAME           STATE                  LOCATION        ELEV (m)    DATE/TIME (UTC)  TEMP (F)   TDEW (F)    RH (%)  WSPD (kts) WDIR (deg)  VIS (m)   PRES (mb)     CLOUD             PRESENT WX
K3A1    Cullman/Folsom F       US: Alabama            34.27N  86.85W       290     2/11/2009 19:00      62.6       60.8        94          15        220        7      1008.1     OVC      Light Rain
K4A9    Ft Payne/Isbell        US: Alabama            34.47N  85.72W       270     2/11/2009 19:00      62.6       60.8        94           7        200        4      1007.8     OVC      Rain
K79J    Andalusia/Opp Ar       US: Alabama            31.32N  86.40W        94     2/11/2009 18:56      70.9       65.7        84          10        180       10      1014.6     OVC
KALX    Alexander/Russel       US: Alabama            32.92N  85.80W       210     2/11/2009 19:00      68.0       66.2        94           9        190       10      1012.2     BKN      Light Rain
KANB    Anniston               US: Alabama            33.58N  85.85W       180     2/11/2009 18:53      66.9       59.0        76          15        180       10      1010.5     OVC
KAUO    Auburn Opelika A       US: Alabama            32.62N  85.42W       240     2/11/2009 18:55      68.0       57.2        68          19        180       10      1013.5     OVC
KBFM    Mobile/Brookely        US: Alabama            30.62N  88.07W        20     2/11/2009 18:53      73.0       66.0        79          11        210       10      1015.6     OVC
KBHM    Birmingham             US: Alabama            33.57N  86.75W       200     2/11/2009 18:53      70.0       62.1        76          24        200        9      1008.8     BKN      Light Rain
KDCU    Decatur                US: Alabama            34.65N  86.95W       180     2/11/2009 18:53      62.1       50.0        65          28        260       10      1007.5     OVC
KDHN    Dothan                 US: Alabama            31.32N  85.45W       110     2/11/2009 18:53      75.9       62.1        62          18        190       10      1017.3     OVC
KEET    Alabaster              US: Alabama            33.18N  86.78W       170     2/11/2009 18:53      70.0       64.0        81          19        190       10      1010.2     OVC
KGAD    Gadsden Muni           US: Alabama            33.97N  86.07W       170     2/11/2009 18:55    -999.0     -999.0      -999          12        160        9      1008.5     BKN
KGZH    Evergreen              US: Alabama            31.42N  87.05W        78     2/11/2009 18:53      71.1       68.0        90          11        200       10      1014.6     BKN      Thunderstorm In Vicinity
